,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.OL.A97C,0.7147,0.6714,0.0039,0.0,-0.0026,0.7172,-0.0095,-0.0062,-0.0044,-0.0044,-0.0044,0.0011,0.0011,-0.008,-0.008,-0.008,-0.0065,-0.0065,-0.0115,0.713,0.0046,-0.0141,-0.0141,-0.0141,0.6139,0.6574,0.6186,1.4165,-0.7551,0.0026,0.0071,0.0,-0.0026,-0.0154,0.7172,-0.0138,-0.0095,-0.0062,-0.0039,0.8843,0.8763,-0.0044,0.0058,-1.2929,-0.0043,-0.005,0.0011,0.0011,-0.0189,-0.008,-0.008,-0.008,-0.0065,-0.0065,-0.0065,-0.0115,0.713,-0.008,-0.7416,0.0053,-0.0141,-0.0141,0.1032,0.6139,0.6427,0.7087,-0.0127,-0.0053,0.0138
TCGA.PE.A5DC,0.0,-0.0371,0.7068,-0.0008,-0.006,0.1224,0.6729,-0.685,0.0049,0.0049,1.1589,0.0022,0.0153,-0.0769,2.8855,0.8957,0.0527,-0.0076,0.0333,0.6824,0.5856,-0.5864,0.0574,0.0574,-0.0062,-0.0062,0.1585,0.6958,-0.6621,0.0,-0.5832,-0.6721,-0.6742,0.0021,0.1224,-0.0048,0.6729,-0.685,-0.685,0.698,0.0297,-0.6835,-0.6643,-1.2929,0.0354,0.0175,0.0153,0.0181,-0.3877,-0.0326,-0.6758,-0.6758,0.0115,-0.0076,0.0238,-0.6639,0.0132,-0.6748,0.0236,-0.6875,-0.6763,0.0574,-0.6649,-0.0062,-0.6465,0.0094,0.0072,-0.6701,-0.6701
TCGA.PE.A5DD,0.0292,0.8048,0.0829,0.5366,0.0,0.019,0.0128,-0.0203,-0.1571,-0.1571,-0.1571,-0.0474,0.0554,0.0198,0.0198,0.0198,-0.0128,-0.0128,-0.7691,0.03,-0.7545,-0.7342,-0.7342,-0.7118,0.0818,0.0818,0.0818,0.0777,-0.1794,-0.7699,-0.0803,0.0829,0.0,-0.7842,0.019,0.019,0.0128,-0.0203,0.0064,0.017,-0.0098,-0.1571,0.0209,0.0209,0.0209,0.0209,0.0554,0.0994,0.0198,0.0198,-0.7836,0.0354,-0.0128,-0.0128,0.0443,-0.7691,0.03,0.03,-0.7495,-0.754,-0.7342,-0.7118,-0.7648,-0.7299,0.0818,0.0514,0.0244,-0.7501,-0.734
TCGA.PE.A5DE,0.7511,0.7835,0.0111,0.3209,-0.321,0.3483,0.3471,-0.3301,-0.3363,-0.3363,-0.338,-0.3308,-0.3452,0.0,0.0,0.0,-0.0007,-0.0007,-0.0073,0.0057,-0.101,-0.3511,-0.3511,-0.3511,-0.0046,-0.0046,-0.0046,0.335,0.0011,0.0011,0.0024,0.0111,-0.321,-0.3298,0.3483,0.3483,0.3568,-0.3301,-0.3301,0.3656,0.1057,-0.3363,0.3452,0.3452,0.3452,0.3452,-0.3452,-0.3411,0.0,0.0,0.0,0.0,-0.0007,-0.0007,-0.0007,0.0042,0.0057,0.004,-0.0906,-0.3376,-0.3511,-0.3511,-0.3034,-0.0046,-0.0046,0.339,0.0192,0.3327,-0.3653
TCGA.PL.A8LV,0.8709,0.8709,0.0643,0.4951,-0.3299,-0.5344,0.8844,-0.1148,0.6031,0.6031,1.6389,0.6004,0.1575,-0.3156,-0.51,-0.51,-0.3408,0.0423,1.2585,-0.104,0.4813,-0.3914,0.0389,0.0249,-0.3971,0.6433,0.6433,-0.3805,0.4428,-0.1325,-0.7906,0.0643,-0.4304,-0.3319,-0.508,-0.4694,0.0585,-0.1148,-0.1397,-0.3614,1.0095,1.8117,-0.3038,1.165,1.165,1.165,-0.2474,-0.2474,-0.4105,-0.51,-0.5215,-0.5215,0.5202,0.0,0.0,-0.4967,0.2972,-0.3741,0.1114,-0.3818,-0.3914,0.0249,-0.3166,-0.4247,0.6433,0.4855,-0.4254,0.2572,0.2658
TCGA.PL.A8LX,0.0259,0.0286,0.0132,0.0082,-0.3638,0.727,0.0135,0.0166,0.0326,0.0296,0.0296,-0.3622,-0.7339,-0.0364,1.2616,-0.7363,0.0122,0.0122,0.0101,-0.244,0.7309,0.003,0.003,0.003,-0.365,-0.365,-0.365,0.4186,-0.3627,-0.3627,-0.3424,0.0132,-0.3638,-0.3614,-0.2393,-0.2393,0.0135,0.0166,0.0166,0.1018,0.1064,0.0326,0.0,0.0,0.006,0.006,-0.7339,-0.7339,-0.0364,-0.2666,-0.7451,-0.7451,0.0122,0.0122,0.0122,0.0101,-0.7406,-0.2347,0.7138,0.01,0.003,0.003,-0.3667,-1.2929,-0.365,-0.3933,-0.3736,-0.7518,-0.7562
TCGA.PL.A8LY,0.0019,0.0028,0.0026,-0.0038,-0.0006,0.0035,-0.0004,-0.0004,-0.003,-0.003,0.0057,-0.0021,-0.0021,0.0032,0.0032,0.0032,-0.005,0.0004,0.0008,0.0004,0.0022,-0.007,-0.007,-0.007,-0.0028,-0.0028,-0.01,-0.0029,0.0019,0.0019,0.0044,0.0026,0.0069,-0.008,0.0035,0.0035,-0.0004,-0.0004,-0.0004,-0.0116,-0.0064,-0.003,-0.0014,-0.0014,-0.0014,-0.0014,0.0036,-0.0002,0.0064,0.0032,0.0007,0.0007,-0.005,-0.0004,-0.0004,0.0008,0.0018,0.0018,0.0022,0.004,-0.0118,-0.007,-0.0007,-0.0028,-0.01,-0.0029,-0.0004,-0.0044,-0.0044
TCGA.PL.A8LZ,0.983,0.3941,-0.033,1.394,-0.0153,-0.0429,0.1278,0.2184,-0.0402,-0.0402,0.484,0.903,-0.0462,0.4564,0.3857,0.3857,-0.0355,-0.0355,-0.0627,-0.0367,-0.0588,-0.0676,-0.0676,0.4233,0.2972,0.2972,0.2972,0.1632,0.1626,0.1254,0.0616,-0.033,-0.3345,-0.0331,-0.101,-0.101,0.1278,0.2284,-0.2987,0.2128,0.0905,-0.0402,0.7715,0.7715,-0.0474,-0.0615,-0.0462,-0.0929,0.3655,0.3857,0.4203,0.4203,-0.0355,-0.0355,0.4314,-0.0337,-0.0367,-0.0516,-0.0473,0.4173,-0.0676,-0.0676,-0.1763,-0.1099,0.2972,0.3884,-0.0344,-0.2454,-0.3449
TCGA.S3.A6ZF,1.0441,1.0501,1.0795,0.3615,-0.0149,0.0,0.1604,-0.4344,3.6569,0.3623,1.1294,0.4439,-0.0266,-0.4173,0.653,1.984,0.437,0.437,0.0075,1.6053,-0.1003,0.0547,0.0547,0.0547,-0.3767,-0.3767,1.046,1.0663,-0.4104,-0.439,0.0257,-0.4327,-0.4137,-0.0149,0.0,0.0,0.1604,-0.4344,-0.4344,0.5219,0.0121,0.0261,0.3994,0.3994,-0.4172,0.9447,-0.0266,-0.0277,-0.4173,0.653,-0.4317,-0.4317,0.437,0.437,0.437,0.0075,-0.4022,-0.4022,-0.1003,-0.3982,-0.4006,0.0547,-0.41,-0.3767,-0.3767,0.0209,-0.1221,-0.3797,-0.3797
TCGA.S3.A6ZG,1.1558,1.0228,-0.1352,-0.1376,0.3379,0.3402,-0.1902,-0.1946,0.3393,0.3393,0.3393,-0.1228,-0.1228,-0.1263,3.6569,-0.6427,0.3418,0.3418,0.2354,0.3471,-0.2413,0.2736,0.2736,0.3238,0.5112,0.2776,0.2776,0.4378,-0.1444,-0.1444,0.0,-0.1376,0.3379,0.3379,0.3402,0.3402,-0.1703,-0.1902,-0.1946,-0.1329,-0.1329,0.3393,-0.0874,-0.0874,-0.0874,-0.1117,-0.1228,-0.1228,-0.1263,-0.6408,-0.6321,-0.6321,0.3418,0.3418,0.3418,-0.7389,0.3471,0.3471,-0.2447,-0.6496,0.2736,0.2736,0.2656,0.4975,0.2776,0.4378,-0.6356,-0.1229,-0.1229
