,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.AC.A6IW,1.2007,0.2804,-0.0158,0.624,-0.3055,-0.0409,0.3196,-0.0186,1.2324,1.2324,0.932,0.1878,-0.1482,-0.0019,-0.181,-0.1783,0.7083,0.0042,-0.1553,-0.1703,-0.0968,0.0037,0.0037,0.0037,0.4495,0.4175,0.1031,0.1958,-0.1969,0.2673,-0.1823,-0.0068,-0.3055,-0.1599,-0.0409,-0.6834,-0.4547,-0.0186,0.0914,0.1891,-0.0417,0.3571,-0.2216,-0.1881,-0.1881,-0.1881,-0.1777,-0.1876,0.0081,-0.181,-0.1887,-0.2477,0.0166,-0.004,0.0004,-0.1717,-0.6142,-0.1914,-0.1024,-0.2222,0.0037,0.0037,0.132,0.4495,0.1031,0.3514,0.2112,-0.0119,0.3466
TCGA.AC.A6IX,2.6609,0.4825,0.0079,-0.0079,-0.0103,-0.0037,0.0088,-0.015,0.5168,0.022,-0.4915,-0.4731,0.0196,0.0125,2.1852,0.8532,0.0081,0.0081,-0.0086,0.0021,0.0309,0.0525,-0.4496,0.0545,-0.4162,0.0624,0.0723,0.0386,-0.4392,0.0,-0.0073,-0.4836,0.0737,-0.021,-0.0037,-0.0037,0.0088,-0.015,-0.015,0.0083,-0.0068,0.0219,0.0202,0.0202,0.0202,0.0202,0.0196,0.0196,0.0125,-0.4632,-0.4759,-0.4723,0.0081,0.0081,0.0081,-0.0086,0.0302,0.0302,0.0309,-0.4694,-0.4531,-0.4496,-0.4737,-0.4162,0.0624,0.0386,-0.0073,0.0674,-0.4505
TCGA.AC.A6NO,1.5657,1.6269,-0.0064,-0.0115,-0.0039,-0.0043,-0.0072,-0.0047,0.2238,0.2238,0.2238,0.0006,0.0006,-0.0028,-0.0028,-0.0028,-0.0026,-0.0026,-0.0069,0.0005,0.0053,0.0074,0.0074,0.0074,0.0122,0.0122,0.0122,0.7332,0.0029,-0.0051,0.0031,-0.0064,-0.0039,-0.0039,-0.0043,-0.0043,-0.0072,-0.0047,-0.0047,1.0101,0.4937,0.2238,-0.001,-0.001,-0.001,-0.001,0.0006,0.0006,-0.0028,-0.0028,-0.0028,-0.0028,-0.0026,-0.0026,-0.0026,-0.0069,0.0005,0.0037,0.0053,-0.7649,0.0074,0.0074,0.3768,0.0122,0.0122,0.72,0.0053,-0.5022,-0.5022
TCGA.AC.A7VB,0.0015,0.7904,0.0056,-0.01,0.0,0.0196,-0.0032,0.0006,3.6569,-0.8423,1.5333,0.0251,-0.0008,0.0064,0.0379,0.8212,0.0181,3.6569,-0.8548,0.8653,0.0191,-0.8312,0.8306,0.8306,-0.7812,0.0324,0.0324,0.0242,0.0015,0.0015,-0.0102,-0.8756,0.0,0.0056,-0.0099,-0.0124,-0.0032,0.0006,-0.0082,-0.0026,-0.001,-0.8603,0.0055,0.0055,0.0118,0.0118,-0.0008,0.0097,0.0064,0.0379,-0.8688,0.0088,-0.8611,-0.8629,-0.8629,-0.8548,-0.8519,0.8198,0.0191,-0.8536,-0.8312,0.8306,0.0238,-0.7945,0.0324,-0.8777,-0.8489,-0.8352,-0.8352
TCGA.AC.A7VC,0.5363,0.3219,-0.0909,0.0828,-0.3269,0.2072,0.2278,0.2381,0.3649,0.3649,0.9614,-0.3244,-0.1075,-0.1409,-0.1409,-0.1409,0.0044,0.0044,-0.1577,-0.2649,0.0783,-0.0033,0.0015,0.0015,-0.0178,-0.0178,-0.0178,0.0707,0.5363,0.5363,-0.5538,-0.0909,-0.3269,-0.3162,0.2072,0.2072,0.2278,0.2381,0.2087,0.2742,0.1766,0.3649,-0.227,-0.227,-0.227,-0.1574,-0.1075,-0.1075,-0.1409,-0.1409,-0.1409,-0.1409,0.0044,0.0044,-0.0199,-0.1964,-0.2649,-0.2649,0.0719,-0.1585,-0.0033,0.0015,-0.3008,-0.0689,-0.0178,-0.0091,0.0632,0.006,0.006
TCGA.AC.A8OP,0.6097,1.1266,0.4232,-0.0973,0.0,0.4377,-0.2132,-0.2092,-0.1148,-0.1148,0.8604,0.0912,0.1003,0.1006,0.0895,0.0895,0.089,0.0813,0.1086,-0.0564,-0.1024,1.7709,-0.1064,3.218,0.733,0.0588,0.0588,0.3892,-0.5137,-0.202,-0.0219,-0.0973,-0.1966,0.091,0.125,0.125,-0.2132,-0.2061,-0.2092,0.3758,0.3638,-0.8376,-0.5005,-0.505,0.0853,0.0853,0.1003,0.8052,0.1006,0.0895,-0.5071,0.1292,0.0993,0.0914,0.1123,-0.5116,-0.0564,-0.0564,-0.1024,-0.4891,-0.4958,0.03,-0.4931,-0.0316,0.0588,-0.1951,-0.2002,-0.1812,-0.206
TCGA.AC.A8OQ,1.4305,1.0926,-0.1612,0.2622,-0.0255,0.5384,0.5771,0.0018,0.0,0.0,2.2874,1.2201,-0.1074,-0.1211,-0.1246,-0.1387,-0.2108,-0.1228,0.0664,-0.1585,-0.0935,-0.044,0.1152,0.071,-0.256,1.2914,-0.2796,1.2205,-0.3262,0.2227,0.2363,-0.2829,-0.0979,-0.1527,-0.3577,-0.3366,0.5771,0.0018,0.1945,0.078,0.1895,0.0069,0.0057,0.1918,-0.1257,-0.3087,-0.1074,-0.1552,-0.1341,-0.0958,0.466,-0.5112,0.5375,-0.1736,-0.1736,0.0697,-0.1585,-0.3304,-0.1122,-0.3211,-0.1535,0.1152,-0.3225,-0.2799,-0.2796,-0.0054,-0.133,0.2299,0.4054
TCGA.AC.A8OR,-0.0001,-0.0001,0.006,0.0154,0.0213,-0.0229,-0.0039,-0.8822,0.0029,0.0029,0.0029,-0.0042,-0.0042,-0.0057,-0.0057,-0.0057,0.0,0.0,0.0113,-0.0061,-0.0216,-0.0368,-0.0368,-0.0279,-0.0431,-0.0431,-0.0431,-0.0316,-0.0444,-0.0001,0.0,0.0099,-0.0378,0.0213,0.0089,0.0089,-0.0039,-0.8822,-0.9338,-0.0156,0.0081,0.0029,0.0062,0.0032,0.0032,-0.0212,-0.0042,-0.0267,-0.0166,-0.0057,-0.0057,-0.0057,0.0,0.0,0.0,0.0113,-0.0061,-0.0061,-0.0216,-0.0293,-0.0368,-0.0368,-0.0036,-0.0431,-0.0431,-0.0316,0.0092,-0.0382,-0.058
TCGA.AC.A8OS,0.0088,0.0088,0.0015,-0.0057,-0.0108,0.0007,-0.0053,-0.0053,-0.0019,-0.0019,-0.0019,0.0092,0.0086,0.0049,0.0049,0.0049,0.0,0.0,-0.0073,0.0082,0.0237,-0.4683,-0.4683,-0.4683,0.0279,0.5105,0.5105,0.0295,0.0088,0.0088,0.0028,-0.003,-0.0108,-0.0108,0.0143,-0.0102,0.0113,-0.0053,-0.0017,0.5273,0.4673,-0.0019,0.0122,0.0106,0.0106,0.0156,0.0086,0.0086,0.0265,0.0049,0.0049,0.0049,0.0,0.0,0.0,-0.0073,0.0082,0.0082,0.0264,-0.4808,-0.4683,-0.4683,-0.473,0.0279,0.5105,0.0295,0.0196,0.0473,0.0473
TCGA.AO.A12B,0.9513,0.9532,-0.0223,-0.024,-0.0314,0.9491,0.4873,0.4758,0.4699,0.4699,0.4699,-0.0192,-0.0192,0.4729,0.4729,0.4729,-0.0319,-0.027,0.4707,-0.0251,-0.0159,0.45,0.45,0.45,0.4498,0.4498,0.4498,0.4844,-0.0214,-0.0214,-0.0084,-0.0223,-0.0314,-0.0475,0.9076,0.9322,0.4873,0.4758,0.4758,0.4678,0.4678,0.4856,0.0,0.0,-0.0046,-0.0046,-0.0192,-0.0192,0.4729,0.4729,0.4729,0.4729,-0.027,-0.0307,-0.0307,0.4707,-0.0251,-0.0251,-0.0107,-0.6084,0.45,0.45,-0.0113,0.4498,0.4498,0.4844,0.4796,0.4877,0.4877
TCGA.AO.A1KO,0.0419,0.0419,-0.0055,0.0507,0.0,-0.0035,-0.0014,-0.0241,0.0032,0.0032,0.0032,-0.0007,-0.0011,-0.004,-0.004,-0.004,-0.0051,-0.0051,-0.0106,-0.001,0.0018,-0.0037,-0.0037,-0.0037,0.0028,0.0028,0.0028,0.0022,0.0419,0.0419,0.0036,-0.0055,0.0,0.0,-0.0035,-0.0035,-0.0014,-0.0241,-0.0241,-0.0019,-0.0019,0.0032,0.0036,0.0036,0.0036,0.0036,-0.0011,-0.0011,-0.004,-0.004,-0.004,-0.004,-0.0051,-0.0051,-0.0051,-0.0072,-0.0012,-0.0012,0.0018,-0.0164,-0.0037,-0.0037,0.0046,0.0028,0.0028,0.0022,-0.0174,0.0039,0.0039
TCGA.AO.A1KP,0.8357,0.8265,0.0106,-0.0017,-0.0115,-0.0035,0.0,-0.5684,3.6569,3.2569,1.8325,0.0289,0.0422,0.0083,0.0136,0.0136,0.0115,0.0115,-0.0108,-0.0208,0.069,0.098,0.098,0.0802,0.0627,0.0627,0.0627,0.1661,-0.8458,-0.8685,-0.0101,-0.0017,-0.0115,-0.0199,-0.0035,-0.0035,0.0,0.0,-0.0238,-0.0123,0.7988,-0.8962,0.016,0.016,0.0571,0.0571,0.0422,0.0422,0.0398,0.0136,0.0136,0.0178,0.0115,0.0115,0.0115,-0.0108,-0.0208,0.0163,0.069,-0.862,0.098,0.0802,0.011,0.0627,0.0627,0.1661,0.0086,-0.8414,-0.8862
TCGA.AO.A1KQ,0.4407,0.4595,-0.4349,0.116,-0.1179,-0.3914,-0.0358,-0.5087,0.5166,0.6355,2.3174,0.0945,0.12,0.1102,0.0448,0.0448,1.0518,1.194,-0.8556,-0.0221,0.2068,-0.4229,0.715,0.715,-0.2272,-0.2272,0.6933,1.2627,-0.3632,-0.3632,-0.4154,-0.4308,0.3726,-0.0531,-0.085,0.458,-0.0358,-0.5087,0.1017,0.3931,-0.0092,-0.3265,-0.3874,-0.3874,-0.3874,-0.3873,0.12,0.1861,0.027,0.0448,-0.4366,-0.4366,0.0444,-0.1757,0.2003,-0.4839,-0.4246,-0.4246,-0.233,-0.5156,-0.4229,0.715,0.2512,-0.0044,-0.2272,-0.1533,0.0167,-0.4112,-0.897
TCGA.AO.A1KR,0.9375,0.9355,-0.0076,1.144,0.0,1.0956,-0.174,0.3898,-0.341,3.6569,3.6569,0.3017,1.1698,-0.305,0.0003,0.0003,2.0275,0.0113,-0.3417,-0.3162,-0.0207,-0.3434,-0.0232,0.3387,0.2102,0.2102,0.2388,0.0769,-0.0097,-0.2899,-0.0636,-0.337,-0.0253,-0.3617,-0.3253,-0.3216,-0.177,0.0229,0.338,0.0138,0.2779,-0.341,0.1019,-0.3149,-0.3176,-0.3243,-0.0075,-0.0305,0.0832,0.0003,-0.0149,-0.0149,0.3962,0.0113,0.0113,-0.3119,-0.3162,-0.3162,0.6096,-0.2976,-0.3434,-0.3327,0.021,-0.354,0.2231,0.0096,0.0409,0.0378,-0.0058
TCGA.AO.A1KS,0.3363,0.3677,-0.1531,-0.0755,-0.1682,0.1843,0.1989,0.1628,0.4145,0.4145,1.7947,0.2725,0.2725,0.6193,0.6193,-0.6124,0.2312,0.2312,-0.1604,0.6786,-0.704,-0.6084,0.306,0.306,0.1768,0.1768,0.1768,3.6569,-0.5532,-0.5532,-0.518,-0.6072,-0.1682,-0.1775,0.1843,0.1843,0.1989,0.1628,0.1628,-0.1082,-0.1082,0.4145,-0.1662,-0.1662,-0.4597,0.4292,0.2725,0.2725,-0.6296,0.6193,-0.6124,-0.6301,0.2312,0.2312,0.2586,-0.1877,0.081,0.1034,-0.1506,-0.597,-0.6084,0.306,0.1372,0.1768,0.1768,0.2853,0.0958,-0.4533,-0.4533
TCGA.AO.A1KT,0.4666,0.4666,0.6319,0.0,-0.1723,-0.0061,-0.2396,-0.6922,3.6569,-0.7239,1.2492,0.0224,0.0224,0.5768,3.6569,2.5441,0.0046,0.0046,-0.723,0.012,-0.1925,0.0234,0.0234,0.0234,-0.7192,-0.2361,-0.2361,0.6814,-0.733,0.0343,-0.1895,0.0,-0.1723,1.0015,0.0196,0.0196,-0.2396,-0.6922,-0.6922,0.0061,0.0061,-0.7346,-0.2166,-0.2166,-0.2166,-0.201,0.0224,-0.7233,0.5768,-0.7378,-0.7118,-0.7118,0.0046,0.0138,0.0138,-0.723,0.012,0.012,-0.1925,-0.7419,0.0234,0.0234,-0.5177,-0.7192,-0.2361,-0.7254,0.4404,-0.0026,-0.0026
TCGA.AQ.A0Y5,0.2896,0.3288,0.0157,0.0202,-0.3658,0.1459,0.3065,0.3065,-0.3876,-0.3876,0.3667,0.6348,-0.0436,-0.0937,-0.0148,-0.0286,0.2992,0.2992,0.0088,0.2188,-0.0094,-0.3939,3.6569,1.1521,-0.3709,-0.3757,-0.3226,3.6569,-0.3729,-0.3729,-0.3514,0.0157,-0.3658,-0.351,0.1459,0.1479,0.3065,0.3065,0.3065,0.0195,0.0132,-0.3772,-0.225,-0.225,-0.225,-0.3979,-0.0436,-0.106,-0.0939,-0.0148,-0.3867,-0.0037,0.2992,0.2992,0.2992,0.0088,-0.1645,-0.1645,3.5439,-0.0006,-0.393,-0.3746,-0.3839,-0.7594,-0.7556,-0.0262,-0.1891,0.223,0.223
TCGA.AQ.A1H2,-0.0004,0.0,-0.0357,-0.0381,0.0542,0.0599,-0.0062,-0.8782,-0.8662,-0.8662,0.8524,0.0094,0.0094,0.8038,0.6986,1.8761,-0.0424,0.0096,-0.8659,0.0014,-0.039,-0.0621,-0.0621,-0.0621,-0.084,-0.084,-0.0923,0.78,-0.9205,-0.0004,0.0076,-0.0357,0.0325,0.0248,0.0599,0.0599,-0.8963,-0.8381,0.07,0.7444,-0.8511,-0.8662,-0.338,-1.2929,-0.4013,-0.4013,0.0094,0.0094,-0.867,-0.1308,-0.8783,-0.8714,0.0096,0.0096,0.0096,-0.8398,0.0014,0.0014,0.0,-0.869,-0.0621,-0.0621,-0.8509,-0.084,-0.0923,0.78,0.0051,-0.074,-0.074
TCGA.AQ.A1H3,1.1323,1.1323,0.0085,0.0085,-0.0083,-0.0106,-0.0098,-0.6058,0.5687,0.5687,0.5677,0.0006,0.0006,-0.0071,-0.0071,-0.0071,-0.0057,-0.0057,-0.0064,-0.0012,0.0028,0.3915,0.3915,0.3915,0.0006,0.0006,-0.0022,0.0011,-0.001,-0.001,0.0,0.0085,0.0046,-0.0064,-0.0106,-0.0106,-0.0098,-0.6058,-0.0039,0.5759,0.5708,0.5687,-0.0026,-0.0026,-0.0026,0.0121,0.0006,0.0006,-0.0071,-0.0071,-0.0071,-0.0071,-0.0057,-0.0057,-0.0057,-0.0064,-0.0012,-0.0012,0.0028,-0.6222,-0.4712,0.3915,0.0088,-0.0102,-0.0022,0.0011,0.0037,0.0163,0.0163
TCGA.AQ.A54N,3.3461,2.2304,-0.6045,0.6166,0.0326,0.7222,-0.6079,-0.6101,0.6616,0.639,3.5485,0.664,1.7974,-0.5789,-0.5772,0.0608,1.0887,0.0481,-0.6039,-0.5977,-0.5889,-0.5571,-0.5688,-0.0317,3.6569,0.7064,0.6764,0.0959,0.1085,0.0454,-0.1905,-0.6045,0.756,0.0443,-0.6389,-0.6358,-0.6084,-0.6101,-0.6116,-0.6137,-0.0022,0.0545,0.6725,0.6624,-0.5929,-0.5694,1.1514,0.6419,-0.5845,-0.536,-0.5702,-0.5693,1.0674,0.0437,0.0562,-0.592,-0.6016,-0.5826,-0.5952,-0.5729,-0.5802,-0.5688,0.122,-0.5943,0.6731,-0.57,0.0751,-0.5851,-0.5762
TCGA.AQ.A54O,1.0082,1.012,0.5238,0.5752,0.2821,0.3586,-0.8097,-0.8561,1.1405,1.1405,1.1633,0.2503,-0.3939,-0.0174,0.8278,0.3559,-0.2509,0.2736,-0.1378,-0.1652,-0.1572,-0.1843,-0.1843,0.7402,0.1788,0.3968,0.4478,1.8912,-0.19,-0.0978,-0.1808,0.5238,0.2703,0.2844,0.1517,0.0,-0.8097,-0.8097,-0.8561,0.5284,0.5313,-0.1553,-0.8138,-0.1761,-0.1761,-0.1761,-0.3939,-0.3939,-0.0174,0.291,-0.6922,-0.7006,-0.2509,0.2716,0.2716,-0.1378,-0.1652,-0.1652,-0.1577,0.5064,-0.1843,-0.1843,-0.1493,0.1565,0.4478,0.5154,-0.3162,-0.8934,-0.1855
TCGA.AQ.A7U7,0.5357,0.5601,0.011,0.0122,-0.0118,0.0102,0.5569,-0.2833,0.0077,0.0077,0.0077,0.2859,-0.2862,-0.001,-0.001,-0.001,0.0012,0.008,-0.2856,0.0256,-0.0079,-0.0183,-0.0183,-0.0183,-0.03,-0.03,-0.03,0.2878,-0.018,-0.2873,0.0072,0.011,-0.0118,-0.0118,0.0102,0.0929,0.5601,-0.2833,-0.2906,0.0048,0.0048,0.0014,-0.0018,-0.0018,-0.0018,-0.0018,-0.2816,-0.2944,-0.0139,-0.001,-0.001,-0.001,0.0012,0.0009,0.0009,-0.2834,-0.2656,0.0521,-0.0079,-0.305,-0.0183,-0.0183,0.0057,-0.03,-0.03,0.2878,-0.2766,-0.3049,-0.311
TCGA.AR.A1AI,0.8398,0.2557,-0.2956,0.2972,0.0424,1.4584,-0.0159,0.2898,0.2488,0.2488,0.2635,0.6448,0.1808,0.8292,-0.3505,-0.3062,0.4854,-0.2763,-0.2962,-0.2852,-0.3124,-0.1959,-0.1616,-0.1598,-0.033,1.0835,-0.0359,0.247,0.6725,0.2926,0.8137,0.3207,-0.672,-0.0161,-0.5911,-0.5644,-0.0159,0.2791,0.2648,-0.0083,0.4194,0.1876,-0.3075,-0.2921,-0.3032,-0.3032,-0.5888,0.1789,-0.3124,0.0059,-0.2931,-0.3229,0.0206,-0.2873,-0.3525,-0.5596,-0.3043,-0.303,-0.2982,-0.014,-0.1959,-0.1616,-0.0488,-0.0306,-0.0359,0.6459,-0.0092,-0.0284,-0.0887
TCGA.AR.A1AJ,0.4816,0.49,0.0,0.1381,0.0,-0.1071,0.0704,0.0635,0.6166,1.0953,0.1073,0.2669,1.1532,-0.0683,-0.0683,-0.0683,-0.0954,-0.1295,-0.1648,-0.1648,-0.1558,-0.147,-0.1453,-0.1453,2.0042,2.0183,-0.1847,-0.0323,-0.0036,-0.0036,0.0473,0.0,0.0,0.0,-0.1071,-0.1071,0.0704,0.0635,0.0635,0.0722,0.1409,-0.3293,-0.0028,-0.0028,-0.0028,0.1215,-0.1697,-0.1715,-0.0683,-0.0683,-0.0683,-0.0683,-0.1295,-0.1295,-0.1295,-0.1648,-0.1648,-0.1648,-0.1558,0.0354,-0.147,-0.1453,0.1338,-0.1315,-0.1847,-0.0323,0.3558,-0.1531,-0.1743
TCGA.AR.A1AK,0.7711,0.7911,-0.0108,-0.008,0.0094,0.4538,-0.0113,-0.0048,-0.4421,-0.4421,0.807,0.7596,-0.0011,0.0016,3.6569,-0.4252,0.3416,0.3416,-0.4199,-0.0057,-0.0104,-0.057,0.7582,0.7582,0.6377,-0.062,-0.062,0.7974,-0.0271,-0.0271,0.0012,-0.0063,-0.005,-0.0035,0.3943,0.3943,-0.0113,-0.0048,-0.0168,-0.0192,-0.0014,-0.4421,-0.0215,-0.0215,-0.0215,-0.0682,-0.0011,-0.4548,0.0016,-0.5194,-0.4424,-0.4424,0.3416,0.3416,0.3416,-0.4199,-0.0057,-0.0057,-0.0104,-0.4498,-0.057,0.7582,0.0124,-0.5301,-0.062,-0.0247,0.0071,-0.0382,-0.0382
TCGA.AR.A1AL,0.7951,0.7812,0.0,-0.0035,-0.0016,0.0015,-0.0021,-0.0021,-0.0028,-0.0028,-0.0028,0.0021,0.0021,0.004,0.004,0.0023,-0.0011,-0.0011,-0.0008,-0.0025,0.0018,-0.0054,-0.0064,-0.0064,-0.012,-0.012,-0.012,0.0021,-0.0029,0.005,0.0058,0.0,-0.0016,0.004,0.0015,-0.0025,-0.0021,-0.0021,-0.0021,0.0021,-0.0019,-0.0028,-0.0024,-0.0024,-0.0024,-0.0024,0.0021,0.0021,0.004,0.004,0.0023,0.0023,-0.0011,-0.0011,-0.0011,0.0006,-0.4334,-0.4334,0.0018,-0.4488,-0.0054,-0.0064,0.0001,-0.012,-0.012,0.0021,-0.0035,0.0035,0.0035
TCGA.AR.A1AM,0.0107,0.427,-0.013,-0.013,-0.1557,0.4482,0.0014,0.0014,0.0201,0.0201,-0.0003,-0.0098,-0.0046,0.01,0.01,0.01,0.0035,0.0001,0.001,-0.116,0.0067,-0.3158,0.0049,0.0049,0.0051,0.0051,0.0051,0.0227,0.0103,0.0107,-0.1512,-0.013,-0.1557,0.27,0.0,0.0,0.0014,0.0014,-0.0018,-0.0097,-0.0003,-0.4334,0.0217,0.0217,0.0217,0.0217,-0.44,0.0692,0.01,0.01,-0.4367,-0.4367,0.0001,0.0001,0.0001,0.001,-0.116,-0.1105,0.0067,-0.4318,-0.3158,0.0049,0.0194,0.0051,0.0051,0.0083,0.0033,-0.4322,-0.4322
TCGA.AR.A1AN,0.4414,0.9284,0.0118,0.9365,1.2351,-0.0061,0.0164,-0.0116,-0.4184,0.0046,0.4828,-0.435,0.0001,0.0,0.4672,0.0334,-0.0097,0.0004,1.4692,-0.0026,0.0187,-0.4492,-0.4492,-0.4492,0.0282,0.0282,0.0257,0.4674,0.0527,-0.0097,-0.4626,0.0118,-0.4866,-0.4942,-0.0061,-0.4854,0.0164,-0.0116,0.0029,0.0008,0.0128,-0.5098,-0.0243,0.0108,0.0108,0.0108,0.0001,0.051,0.0,0.0,0.0036,0.0036,0.0153,0.0004,0.0004,-0.0113,0.0185,0.0426,-0.4856,-0.4824,-0.4492,-0.4492,-0.0194,0.0748,0.0257,0.0245,-0.0359,-0.4572,-0.072
TCGA.AR.A1AO,0.0451,0.0451,0.0231,0.163,-0.0076,-0.0238,-0.0144,-0.0144,-0.0221,-0.0221,0.0245,0.0018,0.0018,0.026,0.026,0.026,-0.0281,-0.0281,-0.0752,-0.0289,-0.0062,-0.0372,-0.0372,-0.0372,-0.0062,-0.0062,-0.0062,0.0793,0.0189,0.0451,0.0,0.0231,-0.0821,-0.0076,-0.0238,-0.0238,-0.0144,-0.0144,-0.0144,0.0222,0.0222,-0.0221,0.0237,0.0237,0.0237,0.0237,0.0018,0.0018,0.0028,0.026,0.026,0.026,-0.0281,-0.07,-0.07,-0.0103,-0.0289,-0.0289,-0.0062,0.0217,-0.0372,-0.0372,-0.0755,-0.0062,-0.0062,0.0105,0.0436,0.0021,0.0082
TCGA.AR.A1AP,0.3895,0.4041,0.0488,0.0261,-0.0329,-0.0146,-0.5954,0.0212,-0.5942,0.0598,0.6421,0.0577,0.0485,0.0345,2.4837,2.8814,0.0549,0.0378,0.0,0.6221,0.0717,0.0815,-0.5472,0.0793,-0.5397,0.0803,0.0803,0.6995,-0.1517,-0.1881,-0.0014,0.0358,0.0079,-0.0351,-0.0233,-0.0268,-0.5954,0.0212,0.0491,0.0919,0.0271,-0.5942,-0.5802,-0.5802,-0.5685,-0.5604,0.0485,0.0485,0.0649,0.0547,-0.5884,-0.5884,0.0549,-0.5838,0.088,0.0081,-0.5693,-0.5829,0.0691,-0.563,0.091,-0.5472,-0.5758,0.0913,0.0803,0.6672,-0.2547,-0.5595,-0.5633
TCGA.AR.A1AQ,0.4763,0.0498,-0.319,0.0593,-0.3618,-0.4061,-0.3497,-0.3368,0.3638,0.3391,0.3364,1.7035,3.0462,0.0085,0.0244,0.0,0.2207,-0.3586,0.0317,-0.3783,-0.3749,-0.359,-0.359,-0.359,0.0859,0.0859,-0.3849,0.0439,-0.0139,0.3692,0.0201,-0.3073,-0.3607,-0.3629,-0.3795,-0.3795,-0.3497,-0.3368,0.0599,-0.3826,0.0614,-0.0916,0.1982,0.1982,-0.3688,-0.3617,0.0674,-0.3893,0.0399,0.0244,0.0,0.0,0.2035,-0.3586,-0.3586,0.0233,-0.3783,-0.3786,-0.3977,-0.3873,-0.359,-0.359,0.8087,-0.3641,0.5422,0.0439,0.0398,-0.386,-0.386
TCGA.AR.A1AR,0.9604,0.0224,0.0147,0.0547,0.4517,-0.4528,0.0271,-0.0032,2.5673,0.9334,0.0253,0.6067,-0.4314,0.0281,0.0281,0.0281,-0.4312,-0.4412,-0.4512,-0.517,-0.4195,-0.4129,-0.4129,-0.4238,0.0929,0.0929,0.0929,-0.4114,0.0521,0.0203,0.0173,0.0,-0.4416,-0.5353,-0.4528,-0.4528,0.0271,-0.0032,-0.0624,0.323,-0.8781,-0.4369,0.0199,0.0199,0.0199,0.0406,-0.8125,-0.4232,0.0288,0.0281,0.0188,0.0188,-0.4312,-0.4354,-0.4251,-0.4428,0.0099,0.0153,-0.4195,-0.4812,-0.4129,-0.4129,0.0877,0.005,0.0929,-0.4122,0.0057,-0.3973,-0.4041
TCGA.AR.A1AS,1.3517,1.3804,0.5939,0.5777,-0.0277,0.0189,0.0215,0.0215,-0.7174,0.0589,0.05,-0.0539,-0.0487,-0.0524,-0.0524,-0.0524,0.0029,0.0029,0.0124,0.0,-0.0448,-0.7237,0.0202,0.0202,-0.0535,-0.0535,-0.0535,0.0692,0.0006,-0.0204,-0.1211,0.5939,-0.0277,-0.0277,0.0189,0.0189,0.0215,0.0215,0.0215,-0.0832,-0.0676,-0.7174,-0.0267,-0.0267,-0.0267,-0.0267,-0.0487,-0.0437,-0.0524,-0.0524,-0.0524,-0.0524,0.0029,0.0029,0.0029,0.0124,0.0,0.0,-0.0448,0.0175,-0.7237,0.0202,-0.0354,-0.0248,-0.0535,0.0692,0.0245,-0.0033,0.0026
TCGA.AR.A1AU,0.0065,-0.0142,-0.0032,-0.0053,0.0013,-0.0212,0.4948,0.4929,0.4475,0.4475,0.8979,0.0,0.0012,0.4495,0.4695,1.3466,0.0024,0.0024,-0.0024,0.0051,0.0051,-0.482,0.0078,0.0064,-0.0044,-0.0044,-0.0044,0.4487,0.0037,-0.4601,0.0011,-0.0032,-0.0017,0.0011,-0.4766,0.0007,-0.4957,0.0011,-0.5024,0.0054,-0.0043,-0.0102,-0.003,-0.003,-0.003,-0.0006,0.0012,0.0012,0.4495,0.4695,-0.478,-0.478,0.0024,0.0024,0.0024,-0.0024,-0.4765,-0.4765,0.0051,-0.0017,-0.482,0.0078,-0.0015,-0.0044,-0.0044,-0.5002,-0.9349,0.0039,0.0039
TCGA.AR.A1AV,1.2796,1.2796,-0.0354,-0.0354,0.0,0.3679,0.3462,0.3462,-0.0094,-0.0094,-0.0094,-0.0285,-0.0285,-0.0115,3.1177,-0.43,-0.0458,0.6605,0.0103,-0.0311,0.3375,0.1971,0.1971,0.1971,0.2451,0.2451,0.2451,0.3254,-0.0587,-0.0274,-0.01,-0.0354,0.0,0.0,0.5327,0.5327,0.3462,0.3462,0.3462,0.3396,0.346,-0.0094,-0.0271,-0.0271,-0.0271,-0.0271,-0.0285,-0.0285,-0.0115,-0.4604,-0.43,-0.43,-0.0458,0.6585,0.6585,0.3413,-0.0311,-0.0311,0.3773,0.34,0.1971,0.1971,-0.392,0.2451,0.2451,0.3254,0.3408,-0.4448,-0.4529
